#SRC:CENA,DATE(MJD):57853,FREQ:228.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
04.43472219,AA,AP,398799.7812,-1845018.7500,5.61994603,-0.2681,0.00444023
04.43472219,AA,SP,-327393856.0000,5203321856.0000,0.03276661,7.4302,0.00805587
04.43472219,AA,LM,2223495168.0000,-2088177152.0000,0.06393873,18.6083,0.00739888
04.43472219,AP,LM,2223102208.0000,-2086345856.0000,0.08978902,9.2953,0.03916879
04.43472219,AP,SP,-327727584.0000,5205170176.0000,0.08652246,-20.7343,0.03751089
04.43472219,LM,SP,-2550828288.0000,7291526656.0000,0.07640790,-11.1599,0.08312625
04.43749988,AA,AP,398246.5312,-1845215.8750,5.61992709,-0.0272,0.00371324
04.43749988,AA,SP,-324211968.0000,5203480064.0000,0.03966536,9.3012,0.00592197
04.43749988,AA,LM,2223953408.0000,-2089264512.0000,0.10306196,2.9009,0.00534325
04.43749988,AP,LM,2223563008.0000,-2087438336.0000,0.12413443,8.5347,0.04908156
04.43749988,AP,SP,-324581632.0000,5205326848.0000,0.07446505,-87.3874,0.04874031
04.43749988,LM,SP,-2548173312.0000,7292738560.0000,0.02958747,83.0300,0.07676795
04.44027793,AA,AP,397656.4062,-1845425.7500,5.61996357,1.0962,0.00391153
04.44027793,AA,LM,2224419584.0000,-2090374272.0000,0.02268310,-109.0493,0.00641946
04.44027793,AA,SP,-320952992.0000,5203640832.0000,0.04463254,-1.2684,0.00662312
04.44027793,AP,LM,2224008448.0000,-2088496512.0000,0.06386280,-34.0126,0.04049211
04.44027793,AP,SP,-321350688.0000,5205486080.0000,0.05351194,67.6595,0.03916825
04.44027793,LM,SP,-2545358080.0000,7294021632.0000,0.04994454,61.2493,0.07901685
04.44305563,AA,AP,397124.2187,-1845614.7500,5.61997245,-0.6462,0.00381379
04.44305563,AA,SP,-317916672.0000,5203788800.0000,0.02145251,3.7862,0.00584156
04.44305563,AA,LM,2224884736.0000,-2091484288.0000,0.19612780,-0.2006,0.00512379
04.44305563,AP,SP,-318171296.0000,5205641216.0000,0.02105130,63.8951,0.05295150
04.44305563,AP,LM,2224473088.0000,-2089603840.0000,0.20792315,-22.2434,0.04846063
04.44305563,LM,SP,-2542561280.0000,7295294464.0000,0.04345280,-63.7988,0.07637789
04.44583333,AA,AP,396533.5937,-1845824.1250,5.61998330,-0.0540,0.00391182
04.44583333,AA,SP,-314487808.0000,5203954176.0000,0.04054572,3.3784,0.00756714
04.44583333,AA,LM,2225348608.0000,-2092594432.0000,0.17635723,1.8389,0.00662700
04.44583333,AP,SP,-314848640.0000,5205801984.0000,0.02803118,27.9820,0.03809834
04.44583333,AP,LM,2224952064.0000,-2090748672.0000,0.18846506,-27.1967,0.03412028
04.44583333,LM,SP,-2539866112.0000,7296518656.0000,0.08994564,-73.7333,0.07789172
04.44861102,AA,AP,396001.7187,-1846012.2500,5.62000536,0.3249,0.00388846
04.44861102,AA,SP,-311136288.0000,5204114432.0000,0.01996835,-7.5008,0.00544463
04.44861102,AA,LM,2225811200.0000,-2093704960.0000,0.17095966,-3.0722,0.00486602
04.44861102,AP,SP,-311636192.0000,5205955584.0000,0.07110439,134.3302,0.05262624
