# SRC:CENA DATE(MJD):57853 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.43472219      AA     AP       399103.8125     -1855551.8750  5.62631759     -0.4654  0.00347330
04.43472219      AA     LM   2237045248.0000  -2105413120.0000  0.11188790     -2.3450  0.00651320
04.43472219      AA     SP   -313456768.0000   5222306304.0000  0.03650962      2.9720  0.00669691
04.43472219      AP     SP   -313855872.0000   5224161792.0000  0.07920944    -21.1137  0.04051592
04.43472219      AP     LM   2236646144.0000  -2103557632.0000  0.12129554    -24.2574  0.03939871
04.43472219      LM     SP  -2550502144.0000   7327719424.0000  0.12359966    123.5883  0.07596294
04.43749988      AA     AP       398540.2188     -1855750.2500  5.62755398     -0.4350  0.00343450
04.43749988      AA     LM   2237508352.0000  -2106526208.0000  0.10639244      0.6270  0.00512118
04.43749988      AA     SP   -310190368.0000   5222461440.0000  0.04057810     -4.7947  0.00532163
04.43749988      AP     LM   2237109760.0000  -2104670464.0000  0.11659231     -3.5546  0.04846268
04.43749988      AP     SP   -310588928.0000   5224316928.0000  0.06662466    -60.3581  0.05036395
04.43749988      LM     SP  -2547698688.0000   7328987648.0000  0.04333205      0.3085  0.07510542
04.44027793      AA     AP       397976.4375     -1855948.3750  5.62549296     -0.4071  0.00346303
04.44027793      AA     LM   2237969920.0000  -2107639424.0000  0.05575450     -6.4803  0.00593389
04.44027793      AA     SP   -306923840.0000   5222615040.0000  0.04034083      3.0258  0.00612078
04.44027793      AP     LM   2237572096.0000  -2105783552.0000  0.05636081     32.4557  0.04279681
04.44027793      AP     SP   -307321792.0000   5224471040.0000  0.05999206     68.0970  0.04414798
04.44027793      LM     SP  -2544893696.0000   7330254336.0000  0.12781456   -124.3844  0.07565227
04.44305563      AA     AP       397412.4062     -1856146.2500  5.62401597     -0.3733  0.00345729
04.44305563      AA     LM   2238430464.0000  -2108752896.0000  0.21078183     -0.9551  0.00541248
04.44305563      AA     SP   -303657120.0000   5222766592.0000  0.03153510     -4.8072  0.00565460
04.44305563      AP     LM   2238033152.0000  -2106896768.0000  0.20112731    -30.8055  0.04565836
04.44305563      AP     SP   -304054528.0000   5224623104.0000  0.05353692     24.0718  0.04770404
04.44305563      LM     SP  -2542087680.0000   7331519488.0000  0.08134788    -58.2141  0.07468698
04.44583333      AA     AP       396848.1875     -1856343.8750  5.62534959     -0.3395  0.00343978
04.44583333      AA     LM   2238889984.0000  -2109866624.0000  0.14171808     -0.1579  0.00533455
04.44583333      AA     SP   -300390240.0000   5222917120.0000  0.03585301     -1.0484  0.00571585
04.44583333      AP     LM   2238493184.0000  -2108010368.0000  0.17337497    -36.3830  0.04381406
04.44583333      AP     SP   -300787072.0000   5224773632.0000  0.05987869     57.1155  0.04694957
