# SRC:CENA DATE(MJD):57853 FREQ:226.1918GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.43472219      AA     AP       395285.9063     -1828854.5000  5.62036680     -0.9753  0.00398187
04.43472219      AA     SP   -324582080.0000   5157713920.0000  0.02592535      8.5726  0.00560149
04.43472219      AA     LM   2204007168.0000  -2069875200.0000  0.06308045      4.3472  0.00479666
04.43472219      AP     SP   -324964800.0000   5159543296.0000  0.08748803    -55.1828  0.05640576
04.43472219      AP     LM   2203619584.0000  -2068064384.0000  0.02534575     77.4301  0.05062231
04.43472219      LM     SP  -2528466176.0000   7227621888.0000  0.20318539     90.6857  0.08192619
04.43749988      AA     AP       394756.0625     -1829043.2500  5.62033639      0.0735  0.00344269
04.43749988      AA     SP   -321401344.0000   5157872128.0000  0.03518279      1.9116  0.00569888
04.43749988      AA     LM   2204461312.0000  -2070952832.0000  0.09701856     12.5415  0.00497192
04.43749988      AP     LM   2204058368.0000  -2069104768.0000  0.11392082     -3.2730  0.04675892
04.43749988      AP     SP   -321807616.0000   5159700992.0000  0.06467355     68.1354  0.04811328
04.43749988      LM     SP  -2525734400.0000   7228868608.0000  0.04893911   -104.9325  0.07933007
04.44027793      AA     AP       394171.1250     -1829251.3750  5.62039754      1.0363  0.00362537
04.44027793      AA     SP   -318196064.0000   5158030336.0000  0.04433141      7.1231  0.00708225
04.44027793      AA     LM   2204923392.0000  -2072052992.0000  0.03967783   -100.7563  0.00651372
04.44027793      AP     SP   -318607872.0000   5159858688.0000  0.02564495    -61.1353  0.03950745
04.44027793      AP     LM   2204529152.0000  -2070223744.0000  0.06820696   -101.6041  0.03471409
04.44027793      LM     SP  -2523072512.0000   7230081536.0000  0.03295933    175.8395  0.07823804
04.44305563      AA     AP       393646.2500     -1829437.7500  5.62037934     -1.0536  0.00344776
04.44305563      AA     SP   -315031392.0000   5158184448.0000  0.03309686     -3.1961  0.00579133
04.44305563      AA     LM   2205384448.0000  -2073153152.0000  0.19238959     -2.3661  0.00490562
04.44305563      AP     SP   -315229056.0000   5160023552.0000  0.09657651      7.1504  0.05190478
04.44305563      AP     LM   2204980736.0000  -2071299840.0000  0.19997445     -5.6555  0.04802848
04.44305563      LM     SP  -2520327424.0000   7231330816.0000  0.07740861     67.0792  0.07727357
04.44583333      AA     AP       393062.6250     -1829644.6250  5.62033643     -0.5422  0.00353010
04.44583333      AA     SP   -311579008.0000   5158351360.0000  0.03478497     -3.1678  0.00638662
04.44583333      AA     LM   2205844224.0000  -2074253696.0000  0.18084743     -1.8857  0.00553300
04.44583333      AP     LM   2205458944.0000  -2072442368.0000  0.19667966    -10.5888  0.03866803
04.44583333      AP     SP   -312056608.0000   5160176640.0000  0.00636471   -166.5834  0.04190854
04.44583333      LM     SP  -2517481728.0000   7232623616.0000  0.05232274     73.0197  0.07690876
04.44861102      AA     AP       392535.5938     -1829831.1250  5.62039869     -0.7580  0.00342772
04.44861102      AA     SP   -308470752.0000   5158499328.0000  0.02973310     -5.6998  0.00577781
04.44861102      AA     LM   2206302976.0000  -2075354496.0000  0.19854974      3.4354  0.00521780
04.44861102      AP     SP   -308916544.0000   5160326656.0000  0.03910094    -45.7820  0.04614481
