# SRC:CENA DATE(MJD):57853 FREQ:227.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.43472219      AA     AP       395619.2812     -1839351.1250  5.61133988     -0.1308  0.00313402
04.43472219      AA     LM   2217513728.0000  -2087030912.0000  0.07002554     -1.9015  0.00416631
04.43472219      AA     SP   -310720000.0000   5176710656.0000  0.02802774      1.2121  0.00432754
04.43472219      AP     LM   2217118208.0000  -2085191552.0000  0.05026758     33.1198  0.05557467
04.43472219      AP     SP   -311115616.0000   5178549760.0000  0.10661623    -30.0952  0.05773520
04.43472219      LM     SP  -2528233728.0000   7263741440.0000  0.12479618     58.9186  0.07674179
04.43749988      AA     AP       395060.5937     -1839547.8750  5.61215398     -0.1292  0.00309544
04.43749988      AA     LM   2217972736.0000  -2088134272.0000  0.10622846      0.7756  0.00531957
04.43749988      AA     SP   -307482112.0000   5176864256.0000  0.04340807     -1.3348  0.00558433
04.43749988      AP     LM   2217577728.0000  -2086294656.0000  0.12030744    -31.8249  0.04204917
04.43749988      AP     SP   -307877184.0000   5178703872.0000  0.10767769     53.5584  0.04414725
04.43749988      LM     SP  -2525454848.0000   7264998912.0000  0.06425661   -115.2216  0.07587833
04.44027793      AA     AP       394501.7187     -1839744.2500  5.61234076     -0.1196  0.00311998
04.44027793      AA     LM   2218430464.0000  -2089237760.0000  0.06158604     -2.8952  0.00622567
04.44027793      AA     SP   -304244096.0000   5177016832.0000  0.04819196     -2.1953  0.00648770
04.44027793      AP     LM   2218035968.0000  -2087398016.0000  0.08732535     18.8073  0.03675001
04.44027793      AP     SP   -304638592.0000   5178856448.0000  0.03111755   -127.2131  0.03829994
04.44027793      LM     SP  -2522674432.0000   7266254336.0000  0.04732029     53.4116  0.07643158
04.44305563      AA     AP       393942.6250     -1839940.3750  5.61225805     -0.1162  0.00311537
04.44305563      AA     LM   2218886912.0000  -2090341632.0000  0.22392806     -0.9333  0.00563204
04.44305563      AA     SP   -301005888.0000   5177167360.0000  0.04868261     -5.0746  0.00594440
04.44305563      AP     LM   2218493184.0000  -2088501632.0000  0.23097123      1.9823  0.03953860
04.44305563      AP     SP   -301399840.0000   5179006976.0000  0.08745178      9.5228  0.04173551
04.44305563      LM     SP  -2519892992.0000   7267508736.0000  0.09211360     39.0461  0.07545768
04.44583333      AA     AP       393383.3125     -1840136.2500  5.61225730     -0.1123  0.00309664
04.44583333      AA     LM   2219342336.0000  -2091445632.0000  0.18277919     -1.1272  0.00549549
04.44583333      AA     SP   -297767552.0000   5177316352.0000  0.03792539      0.7836  0.00594887
04.44583333      AP     LM   2218948864.0000  -2089605504.0000  0.19572463     -8.2225  0.03828780
04.44583333      AP     SP   -298160928.0000   5179156480.0000  0.02299157    -86.6520  0.04145108
04.44583333      LM     SP  -2517110016.0000   7268761600.0000  0.07180732    177.9267  0.07356700
04.44861102      AA     AP       392823.8125     -1840331.7500  5.61289513     -0.1063  0.00308982
04.44861102      AA     LM   2219796480.0000  -2092549888.0000  0.20526000     -0.4264  0.00523792
04.44861102      AA     SP   -294529024.0000   5177463296.0000  0.03224292     -6.3358  0.00567640
04.44861102      AP     LM   2219403776.0000  -2090709504.0000  0.19444781    -19.0226  0.03999059
04.44861102      AP     SP   -294921856.0000   5179303936.0000  0.10751723     16.5887  0.04334252
04.44861102      LM     SP  -2514325504.0000   7270013440.0000  0.11159560   -114.7765  0.07348421
04.45138872      AA     AP       392264.0937     -1840527.1250  5.61176552     -0.1037  0.00311278
04.45138872      AA     LM   2220249600.0000  -2093654272.0000  0.17523390     -0.2502  0.00458252
04.45138872      AA     SP   -291290368.0000   5177609216.0000  0.03120176      4.8294  0.00500888
04.45138872      AP     LM   2219857152.0000  -2091813760.0000  0.13316389    -11.0850  0.04526579
04.45138872      AP     SP   -291682624.0000   5179449856.0000  0.11489390     15.3521  0.04948359
04.45138872      LM     SP  -2511539968.0000   7271263232.0000  0.15547837     -4.1926  0.07285451
04.45416677      AA     AP       391704.1562     -1840722.1250  5.61299090     -0.1032  0.00313408
04.45416677      AA     LM   2220701440.0000  -2094758912.0000  0.19315160     -1.2122  0.00577773
04.45416677      AA     SP   -288051552.0000   5177753088.0000  0.04484834      0.6531  0.00630934
04.45416677      AP     LM   2220309760.0000  -2092918272.0000  0.19688180     -8.4262  0.03621354
